Rank,followers,username,fid
651,13128,sammdec.eth,1864
652,13116,,7715
653,13076,swampnet,471228
654,13043,zen,4909
655,13021,cryptowenmoon.eth,10174
656,13013,degen,5557
657,12994,grit,227886
658,12991,0ffline,15351
659,12989,vinayvasanji.eth,1082
660,12958,0xmizan,13640
661,12947,zeni.eth,446697
662,12918,statuette,15211
663,12867,non07777.eth,285462
664,12865,naomiii,13077
665,12795,eiteengo,396484
666,12776,thief,19832
667,12752,tinyrainboot,9218
668,12734,eic.eth,2795
669,12728,osama,75
670,12727,farcaster-dog,868163
671,12696,anoncast,880094
672,12686,walletconnect,18224
673,12641,antonmarrast,323645
674,12602,benna,265506
675,12602,yoyo-app,557899
676,12579,johann,10144
677,12575,arvis,349718
678,12540,pirosb3,12152
679,12534,mantissafinance,543630
680,12525,atnsarts.eth,266782
681,12493,joshisdead.eth,350139
682,12476,laequis.eth,211769
683,12457,chillyazz.eth,376177
684,12455,carlos,2201
685,12450,bayardo.eth,6394
686,12433,siike.eth,13983
687,12401,tracingstories,309043
688,12340,spitfunkolips.eth,7464
689,12320,degen-tip.eth,317643
690,12297,missjulianna,421161
691,12276,ilemi,16522
692,12242,maheshb,323070
693,12230,realgods.eth,377096
694,12198,bihukim,378275
695,12130,aethernet,862185
696,12108,tipnbot.eth,403507
697,12091,,370078
698,12069,feelsxart,330807
699,12058,fredha.eth,444929
700,12055,,227912
701,12017,rusmayana,305183
702,12014,rarifoundation,341939
703,12007,boeing747,388965
704,12007,sheldon,7960
705,11998,dummie.eth,277952
706,11992,jojo-exchange,499148
707,11992,hellodanimo,199989
708,11968,thibauld,1992
709,11966,abbass.eth,419741
710,11963,sahil,725
711,11958,breech,417063
712,11926,eitzi.eth,3372
713,11906,wetsocks.eth,473065
714,11905,apinoz,501185
715,11857,svvvg3.eth,466111
716,11842,benroy,12224
717,11841,mint7777.eth,401049
718,11832,baebaeddo,401028
719,11776,eiza,406815
720,11771,thecryptomath.eth,245017
721,11693,saintless,8476
722,11684,wieldlabs.eth,18548
723,11647,,308664
724,11602,shahbazbaaz,517425
725,11554,superrare,270678
726,11455,grunt,2441
727,11450,simson,361319
728,11448,leshka,192373
729,11446,div,409
730,11420,larabee,382803
731,11391,nickysap,269091
732,11372,bet188,395748
733,11362,ohyoublockhead,243139
734,11335,luciano,838
735,11329,lstcoins,1139763
736,11319,ihawaii.eth,456735
737,11315,kufz,272453
738,11312,dylanabruscato,189781
739,11304,casterapp,861884
740,11282,timeshare,423063
741,11275,ddongguri,407704
742,11265,velodrome,195960
743,11247,goldytalks,240586
744,11203,basegod,211756
745,11188,javabu.eth,13893
746,11180,0xiceberg,514785
747,11145,kompreni,15732
748,11123,seanwbren,2139
749,11114,floc,6946
750,11108,,403517
751,11101,itslemon.eth,301144
752,11028,sidikmendoza,269022
753,11028,nothing11,516359
754,10997,zoopdrop.eth,258848
755,10986,degenveteran.eth,284679
756,10978,manuwilliams,308410
757,10974,lusian.eth,309470
758,10969,ba,976
759,10964,coolvibe.eth,355066
760,10924,blockheim,235128
761,10880,0xsujit,217780
762,10843,dooristar,426698
763,10834,kiszkiloszki.eth,307128
764,10830,seb,3973
765,10809,ansem,241316
766,10808,beb,1154
767,10804,jacy,2982
768,10795,auramaxdotfun,1448203
769,10791,femiii,1103415
770,10782,li,30
771,10751,crystalspaceshp,248172
772,10742,degenking1,478308
773,10719,bodegacatceo,11555
774,10714,tapcaster,414649
775,10712,tiniid,445086
776,10707,metaend.eth,17940
777,10706,httpsteve,539003
778,10703,bountybot,20596
779,10677,laurencea,324100
780,10656,shamimarshad,535036
781,10652,russellas,324191
782,10636,esss,276562
783,10635,karinaz,324686
784,10631,obey,239533
785,10630,jenniferz,325438
786,10629,ernestox,324774
787,10619,ionicmoney,548794
788,10605,marat116,520108
789,10595,jsheila,325503
790,10595,ticker,283553
791,10593,mckinney,325549
792,10579,degentips-bot.eth,390237
793,10577,duncans,325445
794,10576,onrekt,335741
795,10576,irinaliakh,4973
